Description,Selection Return 01/04/1999 - 01/29/1999,Selection Return 02/01/1999 - 02/26/1999,Selection Return 03/01/1999 - 03/31/1999,Selection Return 04/01/1999 - 04/30/1999,Selection Return 05/03/1999 - 05/28/1999,Selection Return 06/01/1999 - 06/30/1999,Selection Return 07/01/1999 - 07/30/1999,Selection Return 08/02/1999 - 08/31/1999,Selection Return 09/01/1999 - 09/30/1999,Selection Return 10/01/1999 - 10/29/1999,Selection Return 11/01/1999 - 11/30/1999,Selection Return 12/01/1999 - 12/31/1999,Selection Return 01/03/2000 - 01/31/2000,Selection Return 02/01/2000 - 02/29/2000,Selection Return 03/01/2000 - 03/31/2000,Selection Return 04/03/2000 - 04/28/2000,Selection Return 05/01/2000 - 05/31/2000,Selection Return 06/01/2000 - 06/30/2000,Selection Return 07/03/2000 - 07/31/2000,Selection Return 08/01/2000 - 08/31/2000,Selection Return 09/01/2000 - 09/29/2000,Selection Return 10/02/2000 - 10/31/2000,Selection Return 11/01/2000 - 11/30/2000,Selection Return 12/01/2000 - 12/29/2000,Selection Return 01/02/2001 - 01/31/2001,Selection Return 02/01/2001 - 02/28/2001,Selection Return 03/01/2001 - 03/30/2001,Selection Return 04/02/2001 - 04/30/2001,Selection Return 05/01/2001 - 05/31/2001,Selection Return 06/01/2001 - 06/29/2001,Selection Return 07/02/2001 - 07/31/2001,Selection Return 08/01/2001 - 08/31/2001,Selection Return 09/04/2001 - 09/28/2001,Selection Return 10/01/2001 - 10/31/2001,Selection Return 11/01/2001 - 11/30/2001,Selection Return 12/03/2001 - 12/31/2001,Selection Return 01/02/2002 - 01/31/2002,Selection Return 02/01/2002 - 02/28/2002,Selection Return 03/01/2002 - 03/28/2002,Selection Return 04/01/2002 - 04/30/2002,Selection Return 05/01/2002 - 05/31/2002,Selection Return 06/03/2002 - 06/28/2002,Selection Return 07/01/2002 - 07/31/2002,Selection Return 08/01/2002 - 08/30/2002,Selection Return 09/03/2002 - 09/30/2002,Selection Return 10/01/2002 - 10/31/2002,Selection Return 11/01/2002 - 11/29/2002,Selection Return 12/02/2002 - 12/31/2002,Selection Return 01/02/2003 - 01/31/2003,Selection Return 02/03/2003 - 02/28/2003,Selection Return 03/03/2003 - 03/31/2003,Selection Return 04/01/2003 - 04/30/2003,Selection Return 05/01/2003 - 05/30/2003,Selection Return 06/02/2003 - 06/30/2003,Selection Return 07/01/2003 - 07/31/2003,Selection Return 08/01/2003 - 08/29/2003,Selection Return 09/02/2003 - 09/30/2003,Selection Return 10/01/2003 - 10/31/2003,Selection Return 11/03/2003 - 11/28/2003,Selection Return 12/01/2003 - 12/31/2003,Selection Return 01/02/2004 - 01/30/2004,Selection Return 02/02/2004 - 02/27/2004,Selection Return 03/01/2004 - 03/31/2004,Selection Return 04/01/2004 - 04/30/2004,Selection Return 05/03/2004 - 05/28/2004,Selection Return 06/01/2004 - 06/30/2004,Selection Return 07/01/2004 - 07/30/2004,Selection Return 08/02/2004 - 08/31/2004,Selection Return 09/01/2004 - 09/30/2004,Selection Return 10/01/2004 - 10/29/2004,Selection Return 11/01/2004 - 11/30/2004,Selection Return 12/01/2004 - 12/31/2004,Selection Return 01/03/2005 - 01/31/2005,Selection Return 02/01/2005 - 02/28/2005,Selection Return 03/01/2005 - 03/31/2005,Selection Return 04/01/2005 - 04/29/2005,Selection Return 05/02/2005 - 05/31/2005,Selection Return 06/01/2005 - 06/30/2005,Selection Return 07/01/2005 - 07/29/2005,Selection Return 08/01/2005 - 08/31/2005,Selection Return 09/01/2005 - 09/30/2005,Selection Return 10/03/2005 - 10/31/2005,Selection Return 11/01/2005 - 11/30/2005,Selection Return 12/01/2005 - 12/30/2005,Selection Return 01/03/2006 - 01/31/2006,Selection Return 02/01/2006 - 02/28/2006,Selection Return 03/01/2006 - 03/31/2006,Selection Return 04/03/2006 - 04/28/2006,Selection Return 05/01/2006 - 05/31/2006,Selection Return 06/01/2006 - 06/30/2006,Selection Return 07/03/2006 - 07/31/2006,Selection Return 08/01/2006 - 08/31/2006,Selection Return 09/01/2006 - 09/29/2006,Selection Return 10/02/2006 - 10/31/2006,Selection Return 11/01/2006 - 11/30/2006,Selection Return 12/01/2006 - 12/29/2006,Selection Return 01/03/2007 - 01/31/2007,Selection Return 02/01/2007 - 02/28/2007,Selection Return 03/01/2007 - 03/30/2007,Selection Return 04/02/2007 - 04/30/2007,Selection Return 05/01/2007 - 05/31/2007,Selection Return 06/01/2007 - 06/29/2007,Selection Return 07/02/2007 - 07/31/2007,Selection Return 08/01/2007 - 08/31/2007,Selection Return 09/04/2007 - 09/28/2007,Selection Return 10/01/2007 - 10/31/2007,Selection Return 11/01/2007 - 11/30/2007,Selection Return 12/03/2007 - 12/31/2007,Selection Return 01/02/2008 - 01/31/2008,Selection Return 02/01/2008 - 02/29/2008,Selection Return 03/03/2008 - 03/31/2008,Selection Return 04/01/2008 - 04/30/2008,Selection Return 05/01/2008 - 05/30/2008,Selection Return 06/02/2008 - 06/30/2008,Selection Return 07/01/2008 - 07/31/2008,Selection Return 08/01/2008 - 08/29/2008,Selection Return 09/02/2008 - 09/30/2008,Selection Return 10/01/2008 - 10/31/2008,Selection Return 11/03/2008 - 11/28/2008,Selection Return 12/01/2008 - 12/31/2008,Selection Return 01/02/2009 - 01/30/2009,Selection Return 02/02/2009 - 02/27/2009,Selection Return 03/02/2009 - 03/31/2009,Selection Return 04/01/2009 - 04/30/2009,Selection Return 05/01/2009 - 05/29/2009,Selection Return 06/01/2009 - 06/30/2009
Rainier Large Cap Equity,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.678613,0.261151,0.103902,-0.747738,-0.048525,-0.260317,-0.277053,0.278537,-0.176903,-0.093818,-0.847955,0.04111,-0.628755,-0.24544,-0.893192,-0.002859,0.636868,0.163961,-0.383276,-0.450176,-0.137038,-0.238059,0.268372,-0.930005,-0.209761,-0.89445,0.797615,-0.822076,-0.276831,-0.365176,-0.070754,-0.067612,1.23726,-0.125723,-1.004983,0.605154,-0.036496,-0.155823,-0.987081,0.336458,0.452733,0.771112,-0.292202,1.16005,-0.428129,0.187644,0.129957,1.015122,-0.292602,-0.480821,-0.009238,-0.187738,0.157603,-0.341307,0.528822,0.070214,0.472403,-0.32784,-0.44189,0.406911,-1.358999,-0.650774,-0.770258,-0.026378,0.183268,0.288047,0.100275,1.946378,0.244543,-0.460331,0.156045,1.13932,-0.560043,-0.124074,1.13523,-1.07146,0.438286,0.975714,-0.150755,-0.746495,0.487632,-1.611526,-0.043018,-1.042144,-1.19282,-0.166491,-1.575515,-0.978429,-0.444353,-1.995521,-1.494455,-1.302049,-1.159258
Reynolds Blue Chip Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
RidgeWorth Aggressive Growth Stock A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.043338,0.77539,1.599826,-0.552717,-1.226872,-0.760798,0.393001,-0.245629,-0.081639,1.39279,-2.173372,-0.661392,0.575267,-0.192765,1.763988,-1.277015,-0.527047,-0.971302,1.804056,2.293456,2.615196,-0.720699,-0.62302,0.786238,-1.753822,-0.551511,-1.7891,0.84567,-4.053849,-0.255717,3.903494,0.092923,-1.810564,-1.667977,1.687144,0.083064,0.635618,-2.126172,2.072138,0.984398,2.626443,-1.005397,2.582002,1.443767,1.963454,-0.901661,-5.958336,-1.146969,2.022849,5.159024,-1.880921,-2.209987,2.370774,3.109216,-1.568437,0.465605,-1.822712,0.643233,2.337899,0.384104,0.859074,1.249634,-1.523164,1.101235
RidgeWorth Large Cap Growth Stock A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.125209,0.3596,-0.293588,0.275439,1.127948,0.236224,-0.182463,0.792603,-1.008363,0.448063,-1.513223,0.679753,-1.483444,0.086162,-0.102284,-0.733578,0.09814,-0.439893,-0.422041,-0.65465,-0.458977,-0.736332,1.019622,0.77352,0.380386,0.282086,1.866431,-2.827089,-0.664186,0.12195,0.648797,0.135206,0.162185,-0.083926,-0.471287,-0.791465,0.115405,0.015175,-0.213086,-0.406065,1.08941,0.010278,-0.403679,-2.041113,-0.278526
RidgeWorth Sel Large Cap Growth Stock I,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.320871,0.064784,0.196855,0.108276,0.175142,0.208712,0.281741,0.255404,0.191393,-0.988426,-0.889666,-0.279115,1.703489,-2.142196,-0.605575,-0.225386,0.243783,1.157745,-1.267252,-1.282702,-1.47671,0.253812,-0.046333,-1.225446,0.387676,-0.214681,-0.279094,-0.393068,-0.059387,0.256451,-0.934506,0.087392,0.134889,-0.143168,0.127583,-0.00579,-0.059563,-0.446522,-1.417403,0.199746,-0.661294,-0.061774,-1.342421,-0.130923,-0.453497,-0.214171,-0.416682,-0.231412,-0.591545,-0.013899,-0.658941,-0.967824,0.366026,-0.69603,-0.184371,-0.480998,-0.279573,-0.11009,-1.088842,0.23177,-0.940599,-0.512393,-0.287624,-0.065454,-0.440944,0.013408,-0.84912,0.644958,-0.169279,0.896462,0.788245,0.46784,0.115978,1.186555,1.698609,-2.505855,0.263692,0.124199,-0.418141,0.408802,-0.125907,0.21738,0.033498,-0.309946,0.255081,-1.046176,1.073929,1.209832,0.6857,-0.230245,-0.217438,-2.067733,0.126983
Rigel US Equity Large Cap Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.04931,0.462387,-3.422065,-2.112038,-1.541939,-1.046489,0.111611,0.870724,-1.257012,0.880045,0.215623,1.025512,-0.553898,-0.044879,1.490233,1.142402,-0.20999,0.982356,1.546729,-1.19954,-0.799194,1.451068,-1.845203,0.752057,1.65031,-2.243134,-2.68369,-2.363615,-3.095432,-2.632251,-0.799537,-0.475701,-1.229848,-3.453395,-4.486904,-1.808373,-2.1146
RiverSource Disciplined Large Cap Gr A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.245451,-0.825482,-0.003858,-0.105353,-1.010576,-1.172115,1.121656,-1.214507,-0.944844,0.618523,0.752211,-1.267125,0.355708,-0.398129,-0.204912,-2.39446,2.133456,-1.078764,0.684857,-0.385779,-0.586577,0.548165,-0.907433,-0.373929,-0.345073
RiverSource Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.594789,2.78819,-0.59261,0.259427,-2.635668,-0.911289,1.469744,0.871579,1.470955,-1.879242,0.766236,-1.041631,0.555029,-0.25291,-0.9682,-0.207433,-0.8215,2.094429,-1.98999,1.157515,1.291843,-2.296235,-1.353492,0.428108,-2.793729,0.591365,-0.321052,-1.341679,1.009553,-0.052993,0.215671,-0.8113,0.377209,-1.439654,0.376936,-0.095409,1.022067,0.536236,0.973641,0.050092,-0.781584,0.132612,1.479258,0.932733,2.131381,-0.488237,-0.943717,0.672657,-0.785508,-0.881517,1.21053,-0.228021,0.307665,1.417574,-1.492837,-1.109251,-1.806204,0.82764,0.236343,-0.723917,-0.25933,-0.677169,0.821809,0.982138,-0.940487,-1.182246,-0.850317,-0.065169,0.558478,-0.024137,-0.529572,0.5572,-1.480632,0.181842,-3.038657,1.064856,-1.540872,-2.352283,-3.082019,-0.08357,-0.604062,0.492198,-0.623716,-1.970021,0.538073,-2.936311,-0.882829,-0.052639,0.849181,1.204922,0.083053,-0.071566,-0.039271
Rochdale Large Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.024395,0.265713,0.813391,-0.740945,1.267687,-0.86102,0.339521,0.002741,-1.961479,-0.433591,-0.592719,-0.451338,-0.122665,-1.756524,0.441556,-0.441761,0.250175,0.810065,-0.623025,-0.761922,0.285514,-0.648183,-0.537391,-0.269349,0.333781,-0.000331,0.08793,0.909822,-0.391182,0.088363,-0.185323,-0.110934,0.188191,-0.387662,-0.138809,0.098348,0.163191,-0.064536,-0.003237,0.770275,0.15959,0.049941,-0.117521,-0.80893,-0.964534,0.341318,-0.562612,-0.238727,0.021637,-0.759107,-0.402755,-0.100996,-0.39018,-0.223505,-0.825233,-0.314015,-0.159639,0.070576,-1.832362,1.30767,0.505104,-0.146051,-1.141569,-0.99673,-0.867714,0.629656,0.102917,-0.266752,-0.784011,-0.615176,0.609158,0.686246,-0.950166,-1.716113,1.084268,-1.870649,1.00691,-0.403025,1.566241,0.61515,2.08177,-3.707653,0.742658,-0.3564,-3.046957,0.193156,-1.310209,-0.790526,-1.007866,-3.322393,-4.788329,0.06562,-2.120716
Rock Oak Core Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.497127,1.29224,-1.413775,-1.172011,1.660921,-2.125757,0.362487,-0.950531,0.043503,0.785308,-1.334233,-0.889518,-0.978879,-0.403055,0.34213,-1.115339,-0.892758,0.39815,-3.253658,-1.010181,0.801645,-1.062014,-0.715374,-1.461397,0.011882,-0.956456,-0.723909,-0.427042,-0.595945,0.143003,-0.363497,0.800975,2.398502,2.406489,-0.254858,2.994134,-3.347776,-0.68638,0.237983,0.387663,0.881287,0.518946,-2.808916,-1.586234,-1.173696,3.74375,-2.427289,-1.019843,1.490225,0.94026,-0.601013,0.925523,-0.402948,-0.359448
Russell Tax-Managed U.S. Large Cap S,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.037095,0.541746,-0.154021,-0.639252,0.038185,-0.499852,-0.304995,-0.091481,-0.232356,-0.586467,0.295321,-0.463875,-0.909954,0.132741,-0.287638,0.135888,0.154112,0.214779,0.059114,0.152336,-0.344272,-0.623236,0.304304,0.043145,-0.602732,-0.227315,0.320129,0.169536,0.443512,0.496617,0.771636,0.584231,0.080805,0.418952,0.154417,0.258231,-0.179903,0.333178,0.026369,-0.246486,0.111919,0.149987,-0.000578,-0.008786,-0.119644,-0.065187,-0.14152,-0.300154,0.292306,0.619287,-0.093499,-0.234624,-0.274004,-0.390658,0.000624,-0.303512,0.011596,-0.384968,-0.85154,0.551132,0.051923,-0.039349,0.121755,0.411787,-0.19997,0.149,-0.824731,0.227515,-0.211026,-0.566334,-0.304226,0.789367,0.164681,-0.420736,-0.339439,-0.968972,-0.911753,0.289964,0.394262,-0.428546,-0.853543,-0.320858,-0.141232,-0.040313,0.739959,-1.202275,-0.885555,-0.135581,0.15126,0.248031,0.594559,-0.161555,-0.659303
Russell U.S. Growth C,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.011027,1.280268,-1.551399,0.432348,-2.139699,0.441492,-1.2121,0.314831,1.242784,-1.070093,-0.716968,0.815953,0.601786,0.357462,-2.20845,0.50655,0.641618,0.668986,-0.433926,0.119555,0.290753,0.083959,0.017077,-0.804975,0.891822,-1.306908,0.001959,-0.803377,-0.656444,-0.79574,-0.390556,0.380146,-0.191031,-0.31856,-0.651562,0.004491,-0.031524,0.078386,-0.681668,-0.708215,-1.207687,0.688486,0.56409,-0.394018,-0.492394,0.030278,0.574851,0.434816,-0.098907,-0.105486,-0.446342,-0.570539,-0.690697,-0.743122,-0.308432,-1.284357,0.038987,-1.465321,0.00639,-0.097208,-1.86092,-0.772054,-0.272451,-0.028677,-0.235874,-0.610214,-1.696682,-0.962513,0.121942,0.414175,0.842539,1.022558,-0.616378,-0.203412,0.790977,-1.109334,-1.525849,0.810124,-0.771926,-1.310362,-1.150389,-0.4604,0.697752,-1.304282,0.129078,-1.136448,-0.952168,-0.335164,1.392941,1.17756,-0.036044,0.010948,-0.781389
Rydex Dynamic NASDAQ-100 2X Strategy H,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.231122,23.969314,-7.583012,-1.087546,-18.165177,5.166945,-18.463022,-9.558905,-14.348436,-9.126295,-6.136766,-15.571796,30.755301,17.126407,-17.193108,-1.09546,5.616668,-1.282683,10.06491,6.740578,-1.987575,5.873034,4.296079,-4.229771,8.728078,-2.526012,4.855323,-2.123888,-3.173701,-5.48008,-0.736915,7.060657,3.051984,-6.284636,-2.910705,0.470656,7.632883,3.028243,2.277178,-8.127133,-2.833534,-0.492307,-2.445291,10.514116,-10.006041,7.860137,-1.800082,1.177818,0.302683,5.996679,-3.617157,-2.252106,-4.56671,-1.501779,-0.664348,-7.266913,-1.432119,-4.237242,6.146895,8.14598,2.675968,3.419956,-4.717133,2.115047,-3.562272,-0.942802,7.107648,1.250595,-1.297967,0.11409,4.228039,3.774706,6.360359,-6.884608,-1.646152,-12.757251,-11.272246,5.490915,8.678059,7.481812,-11.630502,0.466631,3.770266,-15.702645,-10.49336,-13.139056,-4.219788,0.619926,-2.71285,8.964051,10.739191,-3.10459,4.265835
Rydex NASDAQ-100 Inv,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.916367,6.202028,-4.483871,1.184542,-6.947133,-0.033479,-6.651487,-2.302332,-2.734452,0.721521,-2.029403,-3.395302,10.778912,5.390912,-6.030105,1.027196,3.430647,-0.853816,1.456135,0.56745,-1.404891,2.868676,0.292289,-1.937858,1.639908,-1.409471,0.82278,-1.359648,-1.677082,-1.138515,-0.119518,2.555143,1.14213,-0.533532,-1.344919,0.162382,3.528676,-0.156705,-0.389408,-2.192307,-1.591538,0.784383,-0.366863,3.314649,-4.274261,2.043806,0.054624,0.393528,0.646389,0.427874,-1.104048,-1.107489,-1.772822,-1.082165,-0.053558,-2.328625,-0.175763,-1.68359,1.688919,2.468708,0.009587,1.702782,-2.494278,-0.196879,-0.119161,-0.17422,1.244732,-0.58541,1.085406,2.363905,1.311527,0.857523,2.488533,-1.813911,-0.294329,-3.052012,-3.014236,2.725171,1.889168,1.543897,-2.732333,2.065438,-0.053861,-2.899139,3.00702,-1.608966,-1.076753,2.724882,2.880041,1.38021,0.73576,-1.662165,1.293122
Rydex S&P 500 Pure Growth C,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.362138,0.386378,-0.247675,0.139115,-0.190502,-0.291557,-1.578782,-0.523956,-0.753158,-0.477401,0.055803,0.551045,-0.390676,-0.183653,-1.249157,-1.477744,-0.334197,-0.41537,-0.389615,-0.42904,-0.50868,-0.755185,0.5364,-1.5694,-0.588319,-1.676224,-0.775679,-0.210933,-0.365899,0.269556,0.175926,-0.556465,-0.747835,-0.836744,-0.302896,-0.199958,-0.385119,0.166458,-1.021435,0.038061,-1.810298,-0.754647,0.24178,-0.328583,-0.204613,0.364383,-0.556267,0.554521,0.199462,-0.055631,-1.241508,0.177086,-0.333258,0.420515,0.443251,0.263706,0.138602,-0.573221,0.812919,0.257285,0.123458,1.617415,0.764775,-0.561181
Rydex/SGI All-Cap Opportunity C,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.111973,0.701105,0.150889,0.996546,-1.441363,-0.412906,-2.737493,-0.980029,-2.580618,-0.746251,0.182744,1.149917,-1.490716,0.556736,-1.598455,-0.719273,0.788475,-1.709104,0.6237,-1.957343,-1.622997,-0.170711,-0.245794,-2.556615,-1.572534,-0.712822,0.943751,-0.029629,-1.640936,0.103255,-0.726482,-1.410019,-0.92199,-1.66887,1.334034,0.960193,0.166425,-0.069596,0.776929,-0.71868,0.956997,1.410696,-0.889203,-1.860789,-0.744198,0.850751,-2.129454,0.827971,-0.946921,0.750835,-1.547929,-1.60938,-0.900695,-2.618285,0.859262,-0.153248,-0.93194,1.037782,-0.44357,-1.392306,0.435313,1.844663,-0.893755,-0.744867,-0.638316,2.595707,2.523101,-0.859148,-0.488748,-7.30553,2.544759,-1.039006,1.924511,4.055092,0.683956,-5.351704,-1.656578,0.791429,5.699947,-3.387696,-4.177885,0.073736,-3.281807,-2.553338,0.670765,-4.097571,1.165546
Rydex/SGI Select 25 A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.270132,2.768807,1.037444,-1.018772,1.789445,0.041477,-0.127908,1.41685,-2.366205,-1.420647,1.147863,2.303291,-0.158156,-1.94531,-1.379265,-0.881052,-1.157726,0.49998,0.165906,-2.47221,-1.040472,-0.430693,-0.967499,-0.734996,-1.581887,-0.598127,0.333867,-0.688939,1.578765,1.400317,1.284139,0.085638,-0.398049,-1.22656,-0.625371,-1.687156,0.299643,0.862025,-0.537647,0.397708,0.024187,-1.049609,-2.920574,1.030689,0.377454,0.454892,-0.524997,2.401487,0.757137,-2.060715,1.59421,-0.420025,-0.315107,-2.258283,-0.952738,-0.865353,1.410759,-2.584803,0.445662,0.090422,-0.90733,-1.90843,-0.259642,-0.518765,-2.726434,-2.461751,-1.041676,0.675703,0.610925,-2.629643,0.078421,-0.362484,-2.401966,-2.005569,-3.903863,0.301768,1.808368,-0.576289,0.270092,0.023945,-1.402973,-0.42919,-0.850089,-3.221735,2.048247,-0.505233,-1.692622,-0.881991,-0.308453,-0.763709,0.106146,-0.608182,-0.400261
SEI Instl Mgd Large Cap Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.912655,1.60656,0.132765,-1.408623,-2.044567,0.678267,-0.61475,0.432983,1.191433,-1.188577,0.153549,0.682208,0.057802,-0.784881,-0.273161,-0.336527,-0.414583,0.826754,-0.582009,-1.226178,-0.222423,-0.024963,-0.535894,-0.69907,-0.12346,-0.847159,0.136103,-1.1969,0.495292,0.887401,0.342728,-0.194151,-0.380567,-0.404862,0.772788,0.576759,-0.505084,-0.142308,0.197867,-0.200945,-0.720478,0.298312,-0.060468,0.252539,0.301529,1.152162,0.659067,-0.176377,0.456601,0.146856,-0.353439,-0.133933,-0.675178,-0.150115,-0.246354,-0.340347,0.315834,-0.520565,-0.410724,-0.361802,-0.550907,-0.0237,0.167722,-0.064997,0.117174,-0.662563,-0.914487,-0.077983,0.105364,0.288426,0.578809,0.480139,0.093315,0.320684,0.073291,-0.843951,-0.150688,0.441928,-0.150672,0.152509,0.003816,0.595016,0.23354,-1.469786,0.290464,-0.930915,-0.396767,0.29435,0.56259,-0.358219,-0.734136,0.360548,-0.484674
Saratoga Large Capitalization Growth I,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.337891,1.132713,-1.105299,2.23399,-0.356999,0.344932,-2.036666,-0.80971,0.67685,-0.82601,-0.807197,-0.141618,1.25314,-1.963697,-1.376671,-0.481904,1.150423,-0.385342,0.010856,-0.995439,-0.307483,0.444172,-0.826571,-3.645442,0.33421,0.242376,-0.911794,-2.724741,-1.24102,-0.401715,-1.054204,0.617244,-0.879276,-1.034265,-0.549349,-0.867015,0.805484,1.110503,-1.512696,-1.347322,-0.156223,0.40641,-1.178445,0.692001,3.424716,-0.239659,0.293342,3.286338,4.461269,0.94738,0.239948,-1.793516,-1.787863,-3.131003,-2.897645,-3.138261,1.185129,-2.495884,-4.753264,3.343678,0.237145,-0.984144,-2.519979,3.57634,-2.570788,0.095136,-2.013135,1.867577,-0.474125,0.251281,1.390382,3.55999,5.643236,0.884296,5.168967,-7.505902,-3.255113,3.133252,2.599433,-0.016674,3.63825,-2.149129,-3.007689,-4.506303,2.554701,-3.295714,-2.892253,0.428905,3.331585,-1.127436,-3.165005,-2.747042,-1.802109
